City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Khambhat,IN,81.3,clear sky,22.3,72.6167,Anand
406,Mangrol,IN,78.21,clear sky,21.1167,70.1167,Hotel The Royal Honours
407,Anito,PH,78.06,overcast clouds,12.4497,125.2886,The Yellow House
412,Viga,PH,78.01,overcast clouds,13.8719,124.3091,Ning Ning Olarte Ferma
413,Tsogni,GA,78.3,moderate rain,-2.7942,10.0988,
414,Pangai,TO,80.6,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
415,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
418,Kidal,ML,89.11,overcast clouds,18.4411,1.4078,
420,Bahia De Caraquez,EC,87.8,scattered clouds,-0.6,-80.4167,La Piedra Hotel
428,Aldergrove,CA,75.99,clear sky,49.058,-122.4709,Best Western Plus Country Meadows Inn
429,San Policarpo,PH,80.13,overcast clouds,12.1791,125.5072,JM Lodge
435,Kihei,US,80.6,scattered clouds,20.785,-156.4656,Maui Sunset
438,Araouane,ML,88.32,clear sky,18.9048,-3.5265,
439,Eyl,SO,80.2,few clouds,7.9803,49.8164,Amiin Hotel
446,Perbaungan,ID,75.2,scattered clouds,3.5679,98.956,Bendang Lama
450,Santa Fe,AR,79.0,clear sky,-31.6333,-60.7,Conquistador Hotel
452,Samarai,PG,80.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
455,Macapa,BR,77.0,light rain,0.0389,-51.0664,Atalanta Hotel
457,Iquitos,PE,89.6,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
458,Jaque,PA,81.28,light rain,7.5175,-78.1703,Imbu Bua Lodge
462,Nueva Gerona,CU,81.59,clear sky,21.8833,-82.8,Villa Gerona
464,Mandaguacu,BR,80.6,clear sky,-23.3472,-52.0953,Comaq Palace Hotel
465,Jacareacanga,BR,76.03,light rain,-6.2222,-57.7528,Casa do Ian😎
466,Howard Springs,AU,77.0,broken clouds,-12.497,131.047,buffalo beach hostel
467,Arlit,NE,87.06,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
471,Cravo Norte,CO,86.83,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
472,Bodden Town,KY,84.99,few clouds,19.2833,-81.25,Will T Place
473,Labuhan,ID,76.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
476,Mamou,GN,79.88,broken clouds,10.5,-12.0,
480,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
485,Male,MV,84.2,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
488,Guarapari,BR,77.0,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
489,Dahanu,IN,80.01,clear sky,19.9667,72.7333,Pearline Beach Villas
492,Placido De Castro,BR,78.22,light rain,-10.3353,-67.1856,Hotel Carioca
503,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
505,Bouna,CI,86.25,overcast clouds,9.2667,-3.0,Hotel Reserve
509,Diamantino,BR,75.09,overcast clouds,-14.4086,-56.4461,Hotel Delta
511,Gamba,GA,79.25,light rain,-2.65,10.0,
520,Loreto,MX,85.53,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
524,Nakhon Phanom,TH,75.25,few clouds,17.3333,104.4167,ป่ายางรีสอร์ท
525,Leticia,CO,87.8,few clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
526,Auki,SB,81.82,scattered clouds,-8.7676,160.7034,Auki Motel
529,Phalodi,IN,78.58,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
531,Trincomalee,LK,77.25,overcast clouds,8.5711,81.2335,Welcombe Hotel
536,Sibolga,ID,75.72,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
538,Kulhudhuffushi,MV,83.3,broken clouds,6.6221,73.07,Haajy Guest House 1
540,Durango,MX,84.63,few clouds,24.8333,-104.8333,
544,Grand Gaube,MU,78.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
551,Ormara,PK,79.97,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
554,Marawi,PH,75.99,moderate rain,7.9986,124.2928,Derogongan Residence
557,Iralaya,HN,87.8,broken clouds,15.0,-83.2333,Iglesia morava renovada
561,Wanning,CN,75.56,overcast clouds,18.8003,110.3967,Paradise Hotel
562,Puerto Lopez,CO,84.87,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
565,Tecoanapa,MX,85.62,overcast clouds,16.5167,-98.75,Hotel Manglares
567,Bandarbeyla,SO,80.11,scattered clouds,9.4942,50.8122,JABIR HOTEL
574,Merauke,ID,78.39,broken clouds,-8.4667,140.3333,
575,Pedernales,DO,81.39,clear sky,18.0384,-71.744,Hotel Costa Marina
581,Axim,GH,81.23,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
583,Talara,PE,80.6,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
584,Puerto Suarez,BO,84.2,scattered clouds,-18.95,-57.8,Hotel casa real
588,Santa Rosa,PH,80.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
591,Aswan,EG,77.36,clear sky,24.0934,32.907,Nuba Nile
