City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Baherden,TM,2021-04-14 23:37:49,38.4362,57.4316,64.6,27,80,6.6
282,Ostrovnoy,RU,2021-04-14 23:37:49,68.0531,39.5131,27.46,81,72,28.48
283,Pachino,IT,2021-04-14 23:37:50,36.7186,15.0907,51.8,82,75,1.14
284,Maragogi,BR,2021-04-14 23:37:50,-9.0122,-35.2225,77.04,86,58,6.69
285,Marsa Matruh,EG,2021-04-14 23:37:51,31.3525,27.2453,59.0,82,0,6.91
286,Sao Miguel Do Araguaia,BR,2021-04-14 23:37:51,-13.275,-50.1628,73.22,87,88,5.59
287,Buraydah,SA,2021-04-14 23:37:51,26.326,43.975,68.0,34,0,11.5
288,Turiacu,BR,2021-04-14 23:37:52,-1.6633,-45.3717,75.76,93,99,4.43
289,Narowal,PK,2021-04-14 23:37:53,32.1,74.8833,78.8,36,75,16.11
290,Henties Bay,NA,2021-04-14 23:37:53,-22.116,14.2845,79.0,29,0,5.01
291,Saint Anthony,US,2021-04-14 23:37:53,45.0205,-93.218,46.4,66,90,11.5
292,Boke,GN,2021-04-14 23:37:53,10.9409,-14.2967,79.03,79,72,5.46
293,Luanda,AO,2021-04-14 23:35:10,-8.8368,13.2343,80.6,89,20,3.44
294,Harsin,IR,2021-04-14 23:37:54,34.2721,47.5861,44.6,33,0,6.91
295,Svetlyy,RU,2021-04-14 23:37:54,54.675,20.1347,42.8,75,75,15.66
